GHO,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Display Value,Numeric Value,Low Value,High Value,Comments
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,South-East Asia,Low-income,Nepal,78.15,78.15,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Americas,Upper-middle-income,Peru,11.36,11.36,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),4.19,4.19,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Africa,Upper-middle-income,Botswana,35.61,35.61,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Americas,Upper-middle-income,Costa Rica,11.17,11.17,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Americas,Upper-middle-income,Dominican Republic,16.37,16.37,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,South-East Asia,Low-income,Bangladesh,55.27,55.27,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Africa,Lower-middle-income,C?te d'Ivoire,4.11,4.11,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Americas,Upper-middle-income,Argentina,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Americas,Lower-middle-income,Honduras,14.6,14.6,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Africa,Lower-middle-income,Nigeria,53.93,53.93,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1986,Americas,Upper-middle-income,Brazil,9.7,9.7,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Americas,Upper-middle-income,Argentina,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Americas,Upper-middle-income,Chile,7.45,7.45,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),3.13,3.13,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Europe,Upper-middle-income,Turkey,1.32,1.32,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Americas,Lower-middle-income,Guatemala,52.26,52.26,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Eastern Mediterranean,Lower-middle-income,Pakistan,66.46,66.46,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Americas,Upper-middle-income,Brazil,13.64,13.64,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Eastern Mediterranean,Lower-middle-income,Jordan,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Western Pacific,Lower-middle-income,China,54.03,54.03,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Europe,Upper-middle-income,Poland,0.1,0.1,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,South-East Asia,Lower-middle-income,Indonesia,68.16,68.16,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Africa,Low-income,Mauritania,41.32,41.32,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Europe,High-income,Slovenia,0.02,0.02,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Americas,Lower-middle-income,Ecuador,12.86,12.86,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Western Pacific,Upper-middle-income,Malaysia,2.39,2.39,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Africa,Lower-middle-income,C?te d'Ivoire,8.68,8.68,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Africa,Lower-middle-income,Lesotho,44.35,44.35,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1987,Europe,High-income,Hungary,0.05,0.05,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Africa,Upper-middle-income,Algeria,7.56,7.56,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,South-East Asia,Lower-middle-income,Thailand,17.2,17.2,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,High-income,Estonia,0.05,0.05,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Upper-middle-income,Russian Federation,0.51,0.51,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,High-income,Czech Republic,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Africa,Low-income,Ghana,50.59,50.59,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Africa,Lower-middle-income,C?te d'Ivoire,13.76,13.76,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,High-income,Slovakia,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Americas,Upper-middle-income,Jamaica,3.97,3.97,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Upper-middle-income,Lithuania,0.06,0.06,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Americas,High-income,Trinidad and Tobago,1.42,1.42,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Americas,Upper-middle-income,Colombia,10.69,10.69,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Lower-middle-income,Republic of Moldova,15.27,15.27,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Lower-middle-income,Turkmenistan,14.4,14.4,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Upper-middle-income,Latvia,0.02,0.02,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Lower-middle-income,Ukraine,1.77,1.77,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Upper-middle-income,Kazakhstan,0.02,0.02,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Americas,Upper-middle-income,Brazil,14.68,14.68,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Upper-middle-income,Belarus,0.08,0.08,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,South-East Asia,Lower-middle-income,India,53.59,53.59,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Western Pacific,Lower-middle-income,Philippines,30.48,30.48,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,Low-income,Kyrgyzstan,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1988,Europe,High-income,Croatia,0.04,0.04,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Africa,Low-income,Uganda,68.65,68.65,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Europe,High-income,Hungary,0.04,0.04,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Brazil,13.72,13.72,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Mexico,3.98,3.98,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Western Pacific,Upper-middle-income,Malaysia,1.91,1.91,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Lower-middle-income,El Salvador,15.24,15.24,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Panama,22.87,22.87,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Lower-middle-income,Guatemala,39.1,39.1,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),6.31,6.31,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Europe,Upper-middle-income,Romania,0.24,0.24,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Africa,Low-income,Ghana,49.37,49.37,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Costa Rica,10.79,10.79,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,South-East Asia,Low-income,Bangladesh,66.69,66.69,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Dominican Republic,12.16,12.16,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Colombia,8.08,8.08,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Europe,Upper-middle-income,Poland,0.08,0.08,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Lower-middle-income,Honduras,41.06,41.06,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Americas,Upper-middle-income,Uruguay,0.49,0.49,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1989,Europe,Upper-middle-income,Bulgaria,0.04,0.04,,,
WHS9_86,Population (in thousands) total,Published,1990,Eastern Mediterranean,,Afghanistan,11731,11731,,,
WHS9_86,Population (in thousands) total,Published,1991,Eastern Mediterranean,,Afghanistan,12612,12612,,,
WHS9_86,Population (in thousands) total,Published,1992,Eastern Mediterranean,,Afghanistan,13812,13812,,,
WHS9_86,Population (in thousands) total,Published,1993,Eastern Mediterranean,,Afghanistan,15175,15175,,,
WHS9_86,Population (in thousands) total,Published,1994,Eastern Mediterranean,,Afghanistan,16485,16485,,,
WHS9_86,Population (in thousands) total,Published,1995,Eastern Mediterranean,,Afghanistan,17586,17586,,,
WHS9_86,Population (in thousands) total,Published,1996,Eastern Mediterranean,,Afghanistan,18415,18415,,,
WHS9_86,Population (in thousands) total,Published,1997,Eastern Mediterranean,,Afghanistan,19021,19021,,,
WHS9_86,Population (in thousands) total,Published,1998,Eastern Mediterranean,,Afghanistan,19497,19497,,,
WHS9_86,Population (in thousands) total,Published,1999,Eastern Mediterranean,,Afghanistan,19987,19987,,,
WHS9_86,Population (in thousands) total,Published,2000,Eastern Mediterranean,,Afghanistan,20595,20595,,,
WHS9_86,Population (in thousands) total,Published,2001,Eastern Mediterranean,,Afghanistan,21348,21348,,,
WHS9_86,Population (in thousands) total,Published,2002,Eastern Mediterranean,,Afghanistan,22203,22203,,,
WHS9_86,Population (in thousands) total,Published,2003,Eastern Mediterranean,,Afghanistan,23116,23116,,,
WHS9_86,Population (in thousands) total,Published,2004,Eastern Mediterranean,,Afghanistan,24019,24019,,,
WHS9_86,Population (in thousands) total,Published,2005,Eastern Mediterranean,,Afghanistan,24861,24861,,,
WHS9_86,Population (in thousands) total,Published,2006,Eastern Mediterranean,,Afghanistan,25631,25631,,,
WHS9_86,Population (in thousands) total,Published,2007,Eastern Mediterranean,,Afghanistan,26349,26349,,,
WHS9_86,Population (in thousands) total,Published,2008,Eastern Mediterranean,,Afghanistan,27032,27032,,,
WHS9_86,Population (in thousands) total,Published,2009,Eastern Mediterranean,,Afghanistan,27708,27708,,,
WHS9_86,Population (in thousands) total,Published,2010,Eastern Mediterranean,,Afghanistan,28398,28398,,,
WHS9_86,Population (in thousands) total,Published,2011,Eastern Mediterranean,,Afghanistan,29105,29105,,,
WHS9_86,Population (in thousands) total,Published,2012,Eastern Mediterranean,,Afghanistan,29825,29825,,,
WHS9_86,Population (in thousands) total,Published,1990,Europe,,Albania,3447,3447,,,
WHS9_86,Population (in thousands) total,Published,1991,Europe,,Albania,3460,3460,,,
WHS9_86,Population (in thousands) total,Published,1992,Europe,,Albania,3447,3447,,,
WHS9_86,Population (in thousands) total,Published,1993,Europe,,Albania,3417,3417,,,
WHS9_86,Population (in thousands) total,Published,1994,Europe,,Albania,3384,3384,,,
WHS9_86,Population (in thousands) total,Published,1995,Europe,,Albania,3358,3358,,,
WHS9_86,Population (in thousands) total,Published,1996,Europe,,Albania,3341,3341,,,
WHS9_86,Population (in thousands) total,Published,1997,Europe,,Albania,3331,3331,,,
WHS9_86,Population (in thousands) total,Published,1998,Europe,,Albania,3325,3325,,,
WHS9_86,Population (in thousands) total,Published,1999,Europe,,Albania,3318,3318,,,
WHS9_86,Population (in thousands) total,Published,2000,Europe,,Albania,3305,3305,,,
WHS9_86,Population (in thousands) total,Published,2001,Europe,,Albania,3286,3286,,,
WHS9_86,Population (in thousands) total,Published,2002,Europe,,Albania,3264,3264,,,
WHS9_86,Population (in thousands) total,Published,2003,Europe,,Albania,3239,3239,,,
WHS9_86,Population (in thousands) total,Published,2004,Europe,,Albania,3216,3216,,,
WHS9_86,Population (in thousands) total,Published,2005,Europe,,Albania,3196,3196,,,
WHS9_86,Population (in thousands) total,Published,2006,Europe,,Albania,3180,3180,,,
WHS9_86,Population (in thousands) total,Published,2007,Europe,,Albania,3166,3166,,,
WHS9_86,Population (in thousands) total,Published,2008,Europe,,Albania,3157,3157,,,
WHS9_86,Population (in thousands) total,Published,2009,Europe,,Albania,3151,3151,,,
WHS9_86,Population (in thousands) total,Published,2010,Europe,,Albania,3150,3150,,,
WHS9_86,Population (in thousands) total,Published,2011,Europe,,Albania,3154,3154,,,
WHS9_86,Population (in thousands) total,Published,2012,Europe,,Albania,3162,3162,,,
WHS9_86,Population (in thousands) total,Published,1990,Africa,,Algeria,26240,26240,,,
WHS9_86,Population (in thousands) total,Published,1991,Africa,,Algeria,26894,26894,,,
WHS9_86,Population (in thousands) total,Published,1992,Africa,,Algeria,27535,27535,,,
WHS9_86,Population (in thousands) total,Published,1993,Africa,,Algeria,28158,28158,,,
WHS9_86,Population (in thousands) total,Published,1994,Africa,,Algeria,28753,28753,,,
WHS9_86,Population (in thousands) total,Published,1995,Africa,,Algeria,29315,29315,,,
WHS9_86,Population (in thousands) total,Published,1996,Africa,,Algeria,29845,29845,,,
WHS9_86,Population (in thousands) total,Published,1997,Africa,,Algeria,30345,30345,,,
WHS9_86,Population (in thousands) total,Published,1998,Africa,,Algeria,30820,30820,,,
WHS9_86,Population (in thousands) total,Published,1999,Africa,,Algeria,31276,31276,,,
WHS9_86,Population (in thousands) total,Published,2000,Africa,,Algeria,31719,31719,,,
WHS9_86,Population (in thousands) total,Published,2001,Africa,,Algeria,32150,32150,,,
WHS9_86,Population (in thousands) total,Published,2002,Africa,,Algeria,32573,32573,,,
WHS9_86,Population (in thousands) total,Published,2003,Africa,,Algeria,33003,33003,,,
WHS9_86,Population (in thousands) total,Published,2004,Africa,,Algeria,33461,33461,,,
WHS9_86,Population (in thousands) total,Published,2005,Africa,,Algeria,33961,33961,,,
WHS9_86,Population (in thousands) total,Published,2006,Africa,,Algeria,34507,34507,,,
WHS9_86,Population (in thousands) total,Published,2007,Africa,,Algeria,35097,35097,,,
WHS9_86,Population (in thousands) total,Published,2008,Africa,,Algeria,35725,35725,,,
WHS9_86,Population (in thousands) total,Published,2009,Africa,,Algeria,36383,36383,,,
WHS9_86,Population (in thousands) total,Published,2010,Africa,,Algeria,37063,37063,,,
WHS9_86,Population (in thousands) total,Published,2011,Africa,,Algeria,37763,37763,,,
WHS9_86,Population (in thousands) total,Published,2012,Africa,,Algeria,38482,38482,,,
WHS9_86,Population (in thousands) total,Published,1990,Europe,,Andorra,55,55,,,
WHS9_86,Population (in thousands) total,Published,1991,Europe,,Andorra,57,57,,,
WHS9_86,Population (in thousands) total,Published,1992,Europe,,Andorra,59,59,,,
WHS9_86,Population (in thousands) total,Published,1993,Europe,,Andorra,61,61,,,
WHS9_86,Population (in thousands) total,Published,1994,Europe,,Andorra,63,63,,,
WHS9_86,Population (in thousands) total,Published,1995,Europe,,Andorra,64,64,,,
WHS9_86,Population (in thousands) total,Published,1996,Europe,,Andorra,64,64,,,
WHS9_86,Population (in thousands) total,Published,1997,Europe,,Andorra,64,64,,,
WHS9_86,Population (in thousands) total,Published,1998,Europe,,Andorra,64,64,,,
WHS9_86,Population (in thousands) total,Published,1999,Europe,,Andorra,64,64,,,
WHS9_86,Population (in thousands) total,Published,2000,Europe,,Andorra,65,65,,,
WHS9_86,Population (in thousands) total,Published,2001,Europe,,Andorra,68,68,,,
WHS9_86,Population (in thousands) total,Published,2002,Europe,,Andorra,72,72,,,
WHS9_86,Population (in thousands) total,Published,2003,Europe,,Andorra,76,76,,,
WHS9_86,Population (in thousands) total,Published,2004,Europe,,Andorra,79,79,,,
WHS9_86,Population (in thousands) total,Published,2005,Europe,,Andorra,81,81,,,
WHS9_86,Population (in thousands) total,Published,2006,Europe,,Andorra,82,82,,,
WHS9_86,Population (in thousands) total,Published,2007,Europe,,Andorra,81,81,,,
WHS9_86,Population (in thousands) total,Published,2008,Europe,,Andorra,80,80,,,
WHS9_86,Population (in thousands) total,Published,2009,Europe,,Andorra,79,79,,,
WHS9_86,Population (in thousands) total,Published,2010,Europe,,Andorra,78,78,,,
WHS9_86,Population (in thousands) total,Published,2011,Europe,,Andorra,78,78,,,
WHS9_86,Population (in thousands) total,Published,2012,Europe,,Andorra,78,78,,,
WHS9_86,Population (in thousands) total,Published,1990,Africa,,Angola,10334,10334,,,
WHS9_86,Population (in thousands) total,Published,1991,Africa,,Angola,10653,10653,,,
WHS9_86,Population (in thousands) total,Published,1992,Africa,,Angola,11003,11003,,,
WHS9_86,Population (in thousands) total,Published,1993,Africa,,Angola,11372,11372,,,
WHS9_86,Population (in thousands) total,Published,1994,Africa,,Angola,11743,11743,,,
WHS9_86,Population (in thousands) total,Published,1995,Africa,,Angola,12105,12105,,,
WHS9_86,Population (in thousands) total,Published,1996,Africa,,Angola,12452,12452,,,
WHS9_86,Population (in thousands) total,Published,1997,Africa,,Angola,12791,12791,,,
WHS9_86,Population (in thousands) total,Published,1998,Africa,,Angola,13138,13138,,,
WHS9_86,Population (in thousands) total,Published,1999,Africa,,Angola,13511,13511,,,
WHS9_86,Population (in thousands) total,Published,2000,Africa,,Angola,13925,13925,,,
WHS9_86,Population (in thousands) total,Published,2001,Africa,,Angola,14385,14385,,,
WHS9_86,Population (in thousands) total,Published,2002,Africa,,Angola,14887,14887,,,
WHS9_86,Population (in thousands) total,Published,2003,Africa,,Angola,15421,15421,,,
WHS9_86,Population (in thousands) total,Published,2004,Africa,,Angola,15977,15977,,,
WHS9_86,Population (in thousands) total,Published,2005,Africa,,Angola,16544,16544,,,
WHS9_86,Population (in thousands) total,Published,2006,Africa,,Angola,17122,17122,,,
WHS9_86,Population (in thousands) total,Published,2007,Africa,,Angola,17713,17713,,,
WHS9_86,Population (in thousands) total,Published,2008,Africa,,Angola,18314,18314,,,
WHS9_86,Population (in thousands) total,Published,2009,Africa,,Angola,18927,18927,,,
WHS9_86,Population (in thousands) total,Published,2010,Africa,,Angola,19549,19549,,,
WHS9_86,Population (in thousands) total,Published,2011,Africa,,Angola,20180,20180,,,
WHS9_86,Population (in thousands) total,Published,2012,Africa,,Angola,20821,20821,,,
WHS9_86,Population (in thousands) total,Published,1990,Americas,,Antigua and Barbuda,62,62,,,
WHS9_86,Population (in thousands) total,Published,1991,Americas,,Antigua and Barbuda,62,62,,,
WHS9_86,Population (in thousands) total,Published,1992,Americas,,Antigua and Barbuda,63,63,,,
WHS9_86,Population (in thousands) total,Published,1993,Americas,,Antigua and Barbuda,65,65,,,
WHS9_86,Population (in thousands) total,Published,1994,Americas,,Antigua and Barbuda,67,67,,,
WHS9_86,Population (in thousands) total,Published,1995,Americas,,Antigua and Barbuda,68,68,,,
WHS9_86,Population (in thousands) total,Published,1996,Americas,,Antigua and Barbuda,70,70,,,
WHS9_86,Population (in thousands) total,Published,1997,Americas,,Antigua and Barbuda,72,72,,,
WHS9_86,Population (in thousands) total,Published,1998,Americas,,Antigua and Barbuda,74,74,,,
WHS9_86,Population (in thousands) total,Published,1999,Americas,,Antigua and Barbuda,76,76,,,
WHS9_86,Population (in thousands) total,Published,2000,Americas,,Antigua and Barbuda,78,78,,,
WHS9_86,Population (in thousands) total,Published,2001,Americas,,Antigua and Barbuda,79,79,,,
WHS9_86,Population (in thousands) total,Published,2002,Americas,,Antigua and Barbuda,80,80,,,
WHS9_86,Population (in thousands) total,Published,2003,Americas,,Antigua and Barbuda,81,81,,,
WHS9_86,Population (in thousands) total,Published,2004,Americas,,Antigua and Barbuda,82,82,,,
WHS9_86,Population (in thousands) total,Published,2005,Americas,,Antigua and Barbuda,83,83,,,
WHS9_86,Population (in thousands) total,Published,2006,Americas,,Antigua and Barbuda,83,83,,,
WHS9_86,Population (in thousands) total,Published,2007,Americas,,Antigua and Barbuda,84,84,,,
WHS9_86,Population (in thousands) total,Published,2008,Americas,,Antigua and Barbuda,85,85,,,
WHS9_86,Population (in thousands) total,Published,2009,Americas,,Antigua and Barbuda,86,86,,,
WHS9_86,Population (in thousands) total,Published,2010,Americas,,Antigua and Barbuda,87,87,,,
WHS9_86,Population (in thousands) total,Published,2011,Americas,,Antigua and Barbuda,88,88,,,
WHS9_86,Population (in thousands) total,Published,2012,Americas,,Antigua and Barbuda,89,89,,,
WHS9_86,Population (in thousands) total,Published,1990,Americas,,Argentina,32625,32625,,,
WHS9_86,Population (in thousands) total,Published,1991,Americas,,Argentina,33075,33075,,,
WHS9_86,Population (in thousands) total,Published,1992,Americas,,Argentina,33521,33521,,,
WHS9_86,Population (in thousands) total,Published,1993,Americas,,Argentina,33962,33962,,,
WHS9_86,Population (in thousands) total,Published,1994,Americas,,Argentina,34399,34399,,,
WHS9_86,Population (in thousands) total,Published,1995,Americas,,Argentina,34833,34833,,,
WHS9_86,Population (in thousands) total,Published,1996,Americas,,Argentina,35264,35264,,,
WHS9_86,Population (in thousands) total,Published,1997,Americas,,Argentina,35691,35691,,,
WHS9_86,Population (in thousands) total,Published,1998,Americas,,Argentina,36109,36109,,,
WHS9_86,Population (in thousands) total,Published,1999,Americas,,Argentina,36515,36515,,,
WHS9_86,Population (in thousands) total,Published,2000,Americas,,Argentina,36903,36903,,,
WHS9_86,Population (in thousands) total,Published,2001,Americas,,Argentina,37273,37273,,,
WHS9_86,Population (in thousands) total,Published,2002,Americas,,Argentina,37628,37628,,,
WHS9_86,Population (in thousands) total,Published,2003,Americas,,Argentina,37970,37970,,,
WHS9_86,Population (in thousands) total,Published,2004,Americas,,Argentina,38309,38309,,,
WHS9_86,Population (in thousands) total,Published,2005,Americas,,Argentina,38648,38648,,,
WHS9_86,Population (in thousands) total,Published,2006,Americas,,Argentina,38989,38989,,,
WHS9_86,Population (in thousands) total,Published,2007,Americas,,Argentina,39331,39331,,,
WHS9_86,Population (in thousands) total,Published,2008,Americas,,Argentina,39676,39676,,,
WHS9_86,Population (in thousands) total,Published,2009,Americas,,Argentina,40024,40024,,,
WHS9_86,Population (in thousands) total,Published,2010,Americas,,Argentina,40374,40374,,,
WHS9_86,Population (in thousands) total,Published,2011,Americas,,Argentina,40729,40729,,,
WHS9_86,Population (in thousands) total,Published,2012,Americas,,Argentina,41087,41087,,,
WHS9_86,Population (in thousands) total,Published,1990,Europe,,Armenia,3545,3545,,,
WHS9_86,Population (in thousands) total,Published,1991,Europe,,Armenia,3512,3512,,,
WHS9_86,Population (in thousands) total,Published,1992,Europe,,Armenia,3449,3449,,,
WHS9_86,Population (in thousands) total,Published,1993,Europe,,Armenia,3370,3370,,,
WHS9_86,Population (in thousands) total,Published,1994,Europe,,Armenia,3290,3290,,,
WHS9_86,Population (in thousands) total,Published,1995,Europe,,Armenia,3223,3223,,,
WHS9_86,Population (in thousands) total,Published,1996,Europe,,Armenia,3173,3173,,,
WHS9_86,Population (in thousands) total,Published,1997,Europe,,Armenia,3138,3138,,,
WHS9_86,Population (in thousands) total,Published,1998,Europe,,Armenia,3113,3113,,,
WHS9_86,Population (in thousands) total,Published,1999,Europe,,Armenia,3094,3094,,,
WHS9_86,Population (in thousands) total,Published,2000,Europe,,Armenia,3076,3076,,,
WHS9_86,Population (in thousands) total,Published,2001,Europe,,Armenia,3060,3060,,,
