Iceland,129,107,100,246,260,200
India,27646,28964,30953,35312,38580,40760
Indonesia,11812,12401,14992,17200,19660,25100
Iran,690,634,726,954,740,1080
Iraq,370,728,592,707,700,680
Ireland,5004,4571,5163,5863,6360,6160
Israel,1287,1148,1476,974,1460,1360
Italy,11343,9117,10749,13018,11820,13620
Jamaica,85,123,52,98,140,60
Japan,19394,18954,20153,16437,20040,21840
Jordan,410,433,383,333,500,480
Kazakhstan,96,179,209,323,240,200
Kenya,373,370,912,724,900,920
Kiribati,327,415,482,481,540,500
"Korea, Democratic People's Republic of",0,0,0,0,20,0
"Korea, Republic of",14687,13113,13618,15189,13960,13980
Kosovo,0,0,0,0,60,100
Kuwait,359,302,155,370,300,260
Kyrgyzstan,28,0,50,44,40,60
Laos,387,608,447,571,800,700
Latvia,51,130,52,48,40,60
Lebanon,26,75,104,166,140,140
Lesotho,0,74,28,20,0,20
Liberia,0,27,0,20,0,20
Libya,0,162,62,29,20,20
Liechtenstein,0,0,24,0,20,0
Lithuania,116,22,53,78,60,100
Luxembourg,24,53,54,96,0,20
Macau (Special Administrative Region),426,267,492,357,380,300
Madagascar,0,22,0,84,20,40
Malawi,28,93,29,80,120,140
Malaysia,17700,16308,18868,23475,19860,17480
Maldives,475,213,222,525,320,560
Mali,27,0,24,24,60,140
Malta,219,223,253,152,340,160
Marshall Islands,58,81,52,170,80,100
Martinique,0,0,0,0,0,0
Mauritania,0,0,29,0,0,0
Mauritius,436,208,526,390,340,380
Mayotte,0,0,0,20,0,0
Mexico,2016,1876,1811,1922,2120,2360
"Micronesia, Federated States of",57,27,221,60,0,80
Moldova,0,0,0,20,40,40
Monaco,56,25,0,106,20,20
Mongolia,152,106,165,164,280,460
Montenegro,0,0,74,40,40,40
Montserrat,0,0,0,0,0,0
Morocco,404,542,453,374,300,640
Mozambique,31,48,164,137,100,120
Namibia,293,263,242,344,240,320
Nauru,31,49,86,0,40,400
Nepal,1183,1002,1326,1403,1540,1860
Netherlands,5922,5571,6398,6618,5720,6260
Netherlands Antilles,0,31,54,20,0,0
New Caledonia,10627,6966,7957,7594,7340,7620
New Zealand,23,108,50,163,0,0
Nicaragua,80,26,33,20,40,40
Niger,27,0,0,0,0,40
Nigeria,376,362,176,359,400,280
Niue,1989,2011,2498,2819,3240,5020
Norfolk Island,5905,4349,3496,3708,3640,4380
Northern Mariana Islands,23,71,0,0,0,0
Norway,775,695,826,947,1080,1080
Oman,612,443,492,440,540,640
Pakistan,1115,1556,1286,1327,1300,1100
Palau,0,123,28,20,40,60
Panama,31,28,33,132,240,80
Papua New Guinea,2465,2797,3125,4889,6140,6200
Paraguay,83,76,30,0,40,20
Peru,1281,1813,1508,1514,1500,1520
Philippines,9608,9761,12810,14239,15220,17260
Pitcairn,0,25,24,24,0,40
Poland,804,448,794,806,820,1180
Portugal,638,823,771,916,540,900
Puerto Rico,0,28,0,20,60,40
Qatar,264,690,675,411,560,460
Reunion,26,0,0,102,20,0
Romania,667,550,356,312,480,620
Russia,2548,2101,1925,2233,2380,2340
Rwanda,24,54,59,60,40,120
Samoa,37688,41433,44460,42423,46020,44060
"Samoa, American",477,671,498,481,540,700
San Marino,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0
Saudi Arabia,1180,1731,2650,3251,2480,2360
Senegal,0,0,0,0,0,0
Serbia,88,559,653,501,620,460
Seychelles,28,110,76,69,80,80
Sierra Leone,0,0,0,56,0,20
Singapore,14507,13808,14815,20144,17120,18300
Slovakia,286,305,238,68,140,320
Slovenia,289,50,83,128,80,200
Solomon Islands,802,1151,1390,1522,1380,1760
Somalia,60,0,0,0,20,20
South Africa,12828,13559,16206,14928,15380,14000
South Georgia and the South Sandwich Islands,0,0,30,20,20,0
South Sudan,0,0,0,0,0,80
Spain,4224,4071,4781,5441,5500,6560
Sri Lanka,2736,2979,3576,4998,4060,5000
St Helena,0,0,26,0,0,0
St Kitts and Nevis,0,31,29,20,0,0
St Lucia,28,0,28,0,0,40
St Maarten (Dutch Part),0,0,0,0,0,40
St Pierre and Miquelon,0,0,0,0,0,0
St Vincent and the Grenadines,26,27,0,0,0,0
Sudan,115,25,62,78,100,60
Suriname,27,0,53,20,20,40
Swaziland,0,22,26,0,60,60
Sweden,1872,1345,1415,1516,1760,2180
Switzerland,3464,3426,2776,3452,3580,3640
Syria,247,248,164,188,20,0
Taiwan,10283,10094,11464,10709,10460,10300
Tajikistan,0,0,0,40,0,0
Tanzania,493,339,778,524,640,700
Thailand,29857,30557,28084,36376,41100,42060
Timor-Leste,564,614,283,184,400,340
Togo,23,0,24,20,0,20
Tokelau,304,137,367,200,280,280
Tonga,17479,16321,17247,17256,17760,20120
Trinidad and Tobago,82,103,109,40,100,100
Tunisia,76,27,109,0,60,40
Turkey,2421,2274,2607,2779,3060,3420
Turkmenistan,0,0,0,24,0,0
Turks and Caicos Islands,0,0,24,24,0,20
Tuvalu,0,103,233,100,220,80
Uganda,234,157,251,220,240,320
Ukraine,269,379,321,290,360,460
Union of Soviet Socialist Republics,0,0,0,0,0,0
United Arab Emirates,4575,4726,4932,4479,4220,5020
United Kingdom,93071,87397,92294,92891,95560,96680
United States Minor Outlying Islands,0,0,0,0,0,0
United States of America,93319,88050,98920,104359,121620,142200
Uruguay,335,349,349,363,300,320
Uzbekistan,28,74,138,20,60,160
Vanuatu,12541,11523,11416,10975,12520,15580
Vatican City State,0,0,0,0,0,0
Venezuela,105,81,137,103,100,120
Viet Nam,9984,8687,10317,12207,12920,12640
"Virgin Islands, British",0,49,0,34,20,140
"Virgin Islands, United States",28,0,29,0,0,0
Wallis and Futuna,26,25,0,0,20,60
Western Sahara,0,0,0,0,0,0
Yemen,52,83,52,20,20,20
"Yemen, Democratic",0,0,0,0,0,0
Yugoslavia/Serbia and Montenegro,530,0,0,0,0,0
Zambia,80,210,305,398,340,240
Zimbabwe,477,930,812,733,860,920
Total,1965480,1916663,2026864,2096342,2171720,2197400
