Country,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
OCEANIA,"67,155","71,064","85,724","99,904","105,144","104,926","123,004","109,122","115,074","118,692","94,874","103,602","67,616","63,423","81,704","101,322","98,384","98,516","119,745","113,500","120,100","121,338","93,474","105,555","67,881","67,454","89,280","99,708","93,696","108,864","129,080","113,204","129,168","121,191","96,512","115,104","71,094","67,454","91,528","107,324","100,176","105,744","132,920","119,160","100,280","122,300","103,800","118,640","76,120","73,720","93,580","109,560","100,980","118,000","123,320","116,480","118,940","127,000","102,860","112,400","72,980","70,160","98,040","102,600","99,040","104,920","135,940","128,620","127,880","136,820","109,480","129,220","82,780","79,680","100,640","122,580","118,000","115,100","142,880"
Antarctica,0,27,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,27,31,0,58,0,0,0,0,0,0,26,0,29,0,34,29,34,0,0,0,0,0,0,0,60,0,20,60,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,60,0,20,40,0,0,0,0,0
"Samoa, American",0,0,87,84,0,0,168,0,27,28,52,31,32,27,84,0,22,66,81,50,50,81,54,124,33,0,60,56,72,72,28,26,52,0,0,99,68,87,34,84,24,24,0,20,40,40,20,40,40,40,60,0,80,60,80,60,40,0,60,20,100,40,60,20,60,40,100,160,40,20,0,60,60,0,100,40,20,20,0
Australia,"53,262","60,237","70,673","81,480","84,408","79,465","91,868","81,562","89,856","95,872","77,272","83,669","56,512","54,297","68,964","84,370","78,518","74,096","89,046","85,200","93,075","98,307","76,518","85,374","54,549","56,840","75,000","81,732","73,536","82,464","96,740","84,500","100,724","98,455","79,460","92,301","56,542","56,666","77,758","86,520","77,856","78,648","96,480","89,000","76,800","98,380","84,100","95,580","60,380","63,540","78,620","88,760","78,480","85,400","88,040","85,540","89,080","99,420","82,560","90,060","59,000","59,960","81,840","81,140","76,300","76,060","97,340","93,480","95,300","107,480","87,480","102,160","66,140","67,760","83,380","98,120","88,560","81,060","100,280"
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,"2,376","2,295","3,132","3,836","5,376","5,612","6,244","5,616","5,724","5,180","4,394","3,689","2,432","2,295","3,472","4,108","5,698","6,028","7,047","6,050","6,025","5,292","3,591","3,689","2,475","2,407","3,270","4,424","5,232","6,144","7,672","7,410","6,682","5,916","4,234","3,927","2,890","2,552","3,910","5,124","6,384","7,224","9,380","7,520","6,540","6,420","4,960","4,140","2,460","2,580","4,320","5,780","5,700","8,580","9,200","8,120","7,820","7,060","5,440","4,900","2,900","2,400","4,440","5,020","5,720","7,300","9,080","8,980","8,720","6,880","6,080","5,300","3,140","2,640","4,840","5,800","6,440","7,860","9,680"
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Fiji,"4,455","3,861","5,626","7,308","7,800","11,132","13,972","12,974","10,800","8,876","6,032","6,510","2,752","2,673","3,640","5,798","7,018","10,076","12,798","12,725","12,475","8,667","6,345","7,316","4,455","3,277","5,070","6,412","7,416","10,368","13,160","12,142","11,362","9,019","6,003","8,283","4,624","3,451","4,386","8,484","7,728","11,064","15,040","13,200","9,460","8,600","6,920","8,500","5,680","3,220","4,580","7,320","8,460","12,520","14,160","12,540","11,440","10,840","6,820","7,140","4,900","3,240","5,640","7,580","8,700","10,720","15,720","14,660","12,340","11,560","7,860","9,340","5,980","4,000","5,740","9,800","10,180","13,360","18,320"
"Micronesia, Federated States of",0,0,29,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,29,0,0,0,0,56,26,52,58,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,20,0
Guam,0,0,0,28,24,46,28,0,27,56,0,0,32,0,56,26,0,0,27,0,0,27,0,0,0,0,30,0,48,0,0,0,0,0,0,0,0,0,0,0,48,0,80,0,0,20,0,20,60,20,20,20,0,0,0,0,0,0,20,0,0,20,0,20,0,20,0,0,20,20,0,0,0,0,0,0,0,0,20
Kiribati,33,0,0,0,48,46,0,0,27,28,52,93,0,27,28,52,0,44,81,75,50,27,0,31,0,58,30,0,24,48,28,52,52,29,29,132,34,29,34,56,72,96,20,20,0,20,60,40,120,40,20,20,60,60,0,40,40,60,20,60,20,80,20,20,40,20,60,80,0,60,20,80,40,60,20,40,40,40,80
Marshall Islands,0,0,58,0,0,0,0,0,0,0,0,0,32,0,0,0,0,22,0,0,0,27,0,0,0,0,0,0,24,0,28,0,0,0,0,0,68,0,34,28,0,0,0,0,0,20,20,0,0,0,20,0,0,20,20,20,0,0,0,0,20,0,0,20,0,0,0,20,20,20,0,0,0,20,0,0,0,0,20
Northern Mariana Islands,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,"1,386",756,841,840,960,828,924,"1,066",513,"1,232",754,527,224,108,308,546,594,572,"1,350",925,675,837,486,341,198,174,270,"1,372",720,"1,464",868,494,702,493,377,825,986,232,340,532,912,912,940,620,320,620,600,580,"1,420",220,340,480,360,820,800,540,740,780,340,500,240,80,260,600,940,"1,200","1,020",560,960,760,520,480,340,160,420,600,"1,120","1,040","1,000"
Norfolk Island,429,540,522,672,480,483,504,364,405,728,468,310,320,324,504,390,506,198,189,350,325,648,378,217,264,261,300,364,408,192,252,286,234,406,232,297,306,232,306,308,576,120,240,260,380,400,320,260,260,220,240,320,360,200,320,200,420,340,380,380,200,300,320,480,400,400,300,400,440,360,360,420,280,300,480,340,440,460,400
Nauru,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,22,0,0,0,0,27,0,0,33,0,0,0,24,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,20,20,20,40,0,20,20,140,80,20,60,60,60,20,20,20,60
Niue,33,81,145,168,96,184,140,286,135,224,156,341,128,27,140,234,66,176,162,250,175,243,162,248,132,116,90,112,192,288,364,234,234,232,174,330,204,87,68,196,168,216,460,260,280,380,220,280,120,120,200,180,180,480,380,360,360,300,280,280,120,180,260,300,360,620,520,760,560,620,340,380,200,120,240,240,580,660,740
New Zealand,0,0,0,0,0,23,0,0,0,0,0,0,64,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,29,34,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
French Polynesia,165,162,377,588,312,483,560,468,540,532,260,310,96,189,140,260,286,594,567,350,500,189,297,310,132,261,240,196,312,360,644,442,650,319,348,330,204,232,102,392,480,480,680,420,320,380,380,280,240,260,300,480,600,840,620,660,720,620,440,580,240,220,400,380,540,600,920,520,580,480,500,440,120,220,420,400,520,800,960
Papua New Guinea,198,324,145,224,168,207,168,78,297,112,234,310,320,162,308,182,286,154,432,200,150,135,189,279,165,290,330,84,288,168,308,338,364,203,290,297,136,377,340,308,576,432,540,480,440,420,460,380,340,320,580,540,660,480,520,440,600,620,560,480,480,420,520,540,500,480,640,480,460,800,500,380,480,500,620,540,560,420,600
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,44,27,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,20,0,0,20,20,0,0,20,0,40
Solomon Islands,66,81,174,0,0,115,140,0,108,56,0,62,64,54,140,130,88,176,81,100,175,81,0,62,0,87,120,168,96,96,140,78,208,174,58,165,170,116,204,84,72,96,120,40,140,140,160,180,120,60,80,80,80,260,100,160,100,80,180,80,20,100,100,240,120,80,300,100,160,100,160,280,60,20,40,200,120,120,140
French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,0,0,0,0,48,23,28,0,27,28,26,124,0,0,0,0,0,0,0,25,0,27,54,31,0,0,0,0,72,0,0,26,0,29,174,66,0,0,0,0,0,0,0,40,0,0,140,20,40,40,0,20,0,20,20,0,40,20,40,40,20,0,0,20,0,20,40,20,40,20,60,40,40,0,20,0,20,20,20
Tonga,"1,122",729,899,"1,316","1,464","1,472","2,296","1,508","1,809","1,456","1,300","2,108","1,088",837,784,936,"1,122","1,606","1,836","1,850","1,600","1,296","1,134","2,232","1,485",696,"1,170","1,176","1,200","1,704","1,820","1,430","1,742","1,189","1,160","2,475","1,020",928,884,"1,372","1,416","1,656","2,200","1,500","1,160","1,400","1,000","2,720","1,220",600,980,"1,080","1,200","1,880","2,320","1,720","1,400","1,640","1,520","2,200","1,100","1,040",960,"1,300","1,300","1,480","2,340","2,060","2,000","1,740","1,500","3,300","1,600","1,080",980,"1,620","2,380","2,600","2,620"
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,22,0,0,0,27,0,0,0,58,0,28,0,0,56,0,0,0,58,33,0,0,0,0,0,0,0,0,0,60,20,20,20,0,20,0,0,20,0,20,20,40,60,20,0,20,0,0,0,0,0,0,0,0,40,20,20,20,0,20,80,60,0
Vanuatu,"1,023",432,696,756,720,"1,380","2,016","1,560","1,323","1,064",858,713,608,297,588,754,858,"1,276","1,755","1,550","1,400","1,026",729,682,693,348,570,812,936,"1,368","1,652","1,456","1,248",841,667,825,782,203,442,644,864,"1,200","1,880","1,600",820,940,800,800,680,260,580,800,820,"1,420","1,660","1,840","1,520","1,300",720,920,660,300,680,"1,860","1,180","1,820","2,200","1,940","1,540","1,540",900,960,620,320,700,"1,120","2,820","1,940","2,420"
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,20,0
Samoa,"2,607","1,539","2,320","2,604","3,240","3,404","3,948","3,640","3,456","3,192","2,964","4,774","2,912","2,052","2,548","3,484","3,278","3,300","4,266","3,775","3,400","4,374","3,456","4,588","3,267","2,494","2,730","2,744","3,072","4,104","5,264","4,238","4,810","3,799","3,219","4,719","3,026","2,175","2,618","3,192","2,976","3,576","4,840","4,060","3,580","4,040","3,540","4,800","2,900","2,120","2,580","3,660","3,940","4,920","5,080","4,200","4,600","3,880","3,420","4,720","2,900","1,700","2,500","3,040","2,840","4,020","5,340","4,300","4,680","4,180","3,000","5,560","3,560","2,320","2,580","3,680","4,080","4,580","5,460"
ASIA,"17,226","13,959","18,676","22,316","18,672","19,780","20,580","17,680","22,518","21,756","27,898","34,999","15,424","12,042","16,632","19,448","18,084","21,582","19,008","17,725","22,675","21,681","31,266","34,007","18,315","14,993","19,860","20,608","18,216","23,472","21,784","18,616","25,116","23,200","29,174","38,940","20,162","14,210","20,706","27,496","23,544","24,528","28,900","21,740","21,100","26,080","32,800","42,880","23,640","16,460","22,900","26,360","22,220","29,120","23,740","19,860","27,760","22,980","32,140","42,940","21,520","16,200","22,960","27,260","22,040","25,740","28,700","23,780","31,380","28,520","34,740","46,920","25,220","19,000","22,620","33,300","26,080","27,820","30,920"
Afghanistan,0,27,0,0,72,0,56,104,0,56,26,31,64,0,56,78,44,22,54,0,0,54,54,0,66,0,60,112,24,96,56,104,78,0,29,33,34,58,34,168,72,72,60,100,60,60,40,20,80,20,120,40,100,180,40,0,40,60,60,60,80,60,160,80,120,80,20,140,160,60,60,20,20,20,40,80,100,40,80
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,44,0,27,0,0,0,27,62,0,0,0,0,24,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,40,80,0,0,0,0,20,20,20,0,20,0,0,0,0,0,0,0,0,0,20,0,0,20
Bangladesh,33,27,58,28,0,46,28,0,81,112,104,155,32,27,28,78,110,66,54,50,75,81,162,124,231,29,0,28,24,24,0,52,104,29,232,198,102,87,34,56,48,24,40,20,0,100,140,120,120,80,20,40,20,140,60,60,40,40,140,140,180,60,60,100,20,80,20,40,40,40,60,120,60,140,100,80,40,20,80
Brunei Darussalam,0,27,0,56,48,46,56,130,27,28,130,31,96,0,56,78,22,88,81,100,50,0,54,0,33,29,60,0,96,120,140,26,130,0,87,66,102,29,68,28,24,96,80,60,20,40,40,120,60,20,20,40,100,60,40,80,80,40,0,40,40,20,20,80,0,100,80,40,40,20,20,80,60,40,0,20,40,40,100
Bhutan,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,20,0,20,0,0,0,0,20,0,0,0
"China, People's Republic of","4,818","2,943","4,205","5,320","4,344","4,347","4,172","3,692","5,076","4,816","6,968","8,184","4,672","2,133","4,004","4,264","4,312","4,334","3,375","3,400","5,525","4,590","7,155","8,525","4,488","3,538","4,050","4,564","5,328","6,096","4,004","4,498","7,254","5,336","6,931","8,217","5,236","2,146","5,372","6,916","4,944","5,568","4,460","4,420","5,820","6,000","7,780","9,580","5,540","2,720","4,840","5,680","5,440","5,960","4,180","3,940","6,180","5,540","7,140","8,880","4,580","3,660","5,480","7,020","5,100","5,440","5,520","4,220","7,660","6,360","8,320","9,980","6,060","2,900","5,240","7,960","5,860","5,940","5,100"
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,25,0,0,0,31,0,0,0,0,0,24,0,26,0,29,0,0,0,0,0,0,24,24,0,0,40,0,20,20,0,20,0,20,0,0,20,40,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Hong Kong (Special Administrative Region),"1,122",891,"1,943","1,624","1,560","1,541","1,148","1,196","1,755","2,016","2,366","2,697","1,120",810,"1,624","1,404",990,"1,254","1,134","1,225","1,300","1,944","2,565","1,736","1,188",783,"1,680","1,372","1,104","1,152","1,036","1,066","1,378","1,914","2,146","2,442","1,156",812,"1,598","1,372","1,776","1,368","1,140","1,100","1,340","1,580","1,920","2,720","1,300",860,"1,760","1,700","1,340","1,380","1,140","1,020","1,580","1,280","2,400","2,460",820,820,"1,980","1,460","1,420","1,140","1,140","1,380","1,720","1,620","2,280","2,220",900,"1,020","1,860","1,380","1,400","1,640","1,600"
Indonesia,627,459,551,"1,036","1,104","1,564","1,652","1,196","1,512","1,008",390,713,480,243,392,962,902,"1,496","1,863","2,000","1,150",945,945,"1,023",495,580,480,"1,008","1,080","2,208","2,492","1,950","1,820",870,986,"1,023",578,464,646,"1,176","1,464","2,112","3,100","1,980","1,320","1,720","1,200","1,440",900,680,860,"1,440","1,200","2,540","3,100","2,280","2,860","1,400",960,"1,440",700,720,980,"1,640","1,620","3,320","4,140","3,260","3,040","2,500","1,320","1,860",860,"1,320","1,420","2,120","2,660","4,460","5,640"
India,"1,881","2,295","1,740","1,316","1,488","1,081","1,260","1,794","1,566","3,052","4,810","5,363","1,920","2,322","1,652","2,132","1,276","1,452","1,431","1,475","2,300","2,592","5,886","4,526","2,673","2,639","2,100","1,820","1,560","1,680","1,652","1,326","1,690","3,190","5,046","5,577","3,570","2,726","2,380","1,932","1,728","1,536","1,820","2,220","2,280","3,080","6,100","5,940","4,160","3,220","2,580","2,440","1,900","1,940","1,900","1,980","2,920","2,920","6,400","6,220","4,900","2,520","2,460","2,360","2,300","1,780","2,120","2,220","2,600","4,140","6,320","7,040","5,040","3,580","2,140","2,660","1,780","1,840","1,520"
Japan,"1,188",810,"1,392","2,604","1,464","1,403","1,568",962,"2,457","1,792","1,274","2,480","1,024",918,"1,596","1,742","1,452","1,804","1,674","1,075","2,100","1,863","1,350","2,356","1,221",783,"1,560","1,764","1,488","1,704","2,268",988,"2,548","1,769","1,189","2,871","1,564","1,189","1,088",952,"1,176",888,"1,340",820,"1,400","1,800","1,500","2,720","1,160",940,"1,300","2,340","1,560","1,920","1,420","1,160","2,380","1,600","1,660","2,600","1,260","1,000","1,420","2,160","1,540","1,360","2,060","1,400","2,920","2,080","1,940","2,700","1,400","1,500","1,700","3,120","2,120","1,580","2,020"
Kyrgyzstan,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,26,0,0,0,0,0,0,0,0,24,0,0,0,0,20,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,40
Cambodia,264,216,348,140,72,46,224,130,378,168,286,527,224,243,308,338,264,286,135,125,275,216,405,682,363,145,180,196,264,216,140,182,208,290,348,"1,056",238,174,238,364,72,456,220,160,160,280,420,"1,160",320,120,320,280,280,200,180,120,260,200,660,"1,080",320,180,420,320,240,360,300,240,320,220,440,"1,180",320,240,480,440,200,340,280
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",792,864,928,"1,428",936,"1,173",952,754,"1,296",784,"1,742","3,038",544,540,784,988,770,"1,320",783,550,"1,025","1,188","2,079","2,542",759,609,870,"1,176",816,"1,080",952,884,910,"1,334","1,885","2,343",782,841,850,"1,288",912,"1,056","1,260",780,"1,100","1,520","2,240","2,560",980,580,"1,080","1,240",940,"1,280",700,740,"1,200","1,100","1,560","2,560",900,520,860,"1,280","1,160","1,180",960,920,"1,320","1,280","1,460","2,140",980,960,800,"1,480","1,060","1,040","1,140"
Kazakhstan,0,0,0,0,24,46,0,26,0,0,0,0,0,0,0,26,22,44,0,25,0,0,0,62,0,0,0,0,48,48,0,26,0,58,29,0,34,29,0,56,24,0,40,0,20,20,40,60,20,20,0,60,0,0,20,60,0,0,60,0,0,0,20,0,20,40,0,0,40,20,20,40,0,40,20,20,0,40,20
Laos,33,54,0,0,24,0,0,104,0,84,26,62,32,54,56,26,66,44,27,25,50,0,135,93,33,0,0,0,24,72,56,26,0,58,145,33,0,29,34,56,48,24,40,40,20,80,100,100,80,40,40,60,80,60,80,0,100,120,60,80,0,60,80,80,0,0,0,60,60,60,120,180,140,20,40,80,20,60,120
Sri Lanka,132,162,145,336,216,115,84,130,243,168,416,589,160,54,280,208,176,198,162,125,0,216,594,806,231,203,300,224,96,480,224,286,234,203,435,660,170,348,476,504,312,408,320,280,140,320,640,"1,080",160,200,220,340,300,320,300,500,320,200,380,820,360,200,380,460,280,280,300,420,360,180,740,"1,040",440,180,220,440,480,300,380
Burma (Myanmar),0,0,58,28,0,23,0,0,27,0,0,62,0,27,0,0,44,44,0,0,25,27,0,31,0,29,30,0,24,0,0,26,0,58,29,99,34,58,0,28,24,0,0,20,40,20,80,80,60,40,40,20,60,60,20,40,60,120,60,180,60,80,20,20,100,40,40,60,20,60,240,80,60,180,80,20,40,40,40
Mongolia,0,0,0,0,24,46,28,0,54,0,0,0,0,0,28,78,0,0,0,0,0,0,0,0,0,29,0,56,0,24,56,0,0,0,0,0,0,0,0,0,0,24,80,0,0,0,20,40,0,0,20,0,0,140,60,0,40,0,0,20,20,20,40,40,60,80,80,20,80,20,0,0,20,20,20,20,0,20,0
Macau (Special Administrative Region),0,54,58,28,0,92,28,52,0,0,52,62,0,27,0,26,0,0,27,0,25,108,54,0,33,0,90,28,24,48,56,0,52,0,29,132,0,29,0,56,24,48,0,0,0,20,120,60,60,40,40,20,0,0,20,20,20,20,80,60,20,0,0,40,20,40,0,40,60,20,40,20,40,20,0,40,0,0,120
Maldives,0,27,0,84,48,92,0,52,54,56,0,62,0,27,84,26,22,0,27,0,0,0,27,0,33,0,30,0,0,24,28,52,26,0,29,0,34,29,102,0,72,48,100,20,40,0,20,60,0,0,20,40,60,60,40,40,40,0,20,0,40,20,40,60,40,40,40,120,100,20,0,40,20,0,20,20,20,0,160
Malaysia,"1,254",567,"1,160","1,260","1,152","1,840","1,484","1,274","1,458","1,456","2,470","2,325","1,120","1,026",896,884,"1,122","1,936","1,539","1,125","1,400",891,"2,106","2,263","1,452","1,131","1,350","1,344","1,296","1,584","1,596","1,092","1,794","1,624","2,262","2,343","1,156",899,"1,156","2,604","2,376","2,304","2,940","1,920","1,320","2,000","2,060","2,740","2,000","1,180","1,540","1,460","1,740","2,180","1,440","1,060","1,220","1,200","2,320","2,520",920,"1,160","1,440","1,340","1,020","1,140","1,780","1,320","1,600","1,000","2,000","2,760","2,060","1,040","1,340","1,780","1,640","1,820","2,220"
Nepal,66,54,116,224,96,23,56,26,216,140,104,62,64,0,112,260,66,22,0,0,150,243,54,31,0,29,180,168,120,0,28,52,364,203,116,66,68,29,102,196,120,48,20,60,140,200,280,140,40,100,220,280,140,40,20,40,180,220,200,60,100,60,140,320,120,80,40,80,260,420,120,120,40,120,340,280,120,40,60
Philippines,594,594,812,"1,176",936,782,672,260,459,700,546,"2,077",640,324,952,702,836,814,621,800,725,432,621,"2,294","1,056",406,960,"1,232",840,864,644,572,598,928,783,"3,927",714,667,"1,054","1,456","1,176","1,152","1,200",780,740,880,"1,080","3,340","1,220",700,"1,780","1,440","1,300","1,140",940,480,880,820,"1,240","3,280","1,160",860,"1,280","1,560","1,380","1,340","1,040",720,"1,060","1,180","1,540","4,140","1,340",940,"1,420","1,940","1,640","1,540","1,080"
Pakistan,0,81,203,0,48,69,84,78,81,56,260,155,128,189,168,52,22,44,81,0,100,135,513,124,231,174,120,112,48,24,28,78,78,29,232,132,102,203,102,56,24,120,100,100,100,60,200,160,100,140,220,20,20,40,100,120,40,80,260,160,100,40,40,40,20,60,40,80,80,240,240,120,140,220,80,80,60,20,120
Singapore,"1,254","1,026","1,015","1,204","1,056","1,288","1,372","1,274","1,134","1,344","1,300","1,240",288,648,784,"1,144","1,628","1,496","1,242","1,450","1,300","1,431","1,188","1,209",990,638,"1,320","1,260","1,200","1,344","1,176","1,196","1,248","1,276","1,682","1,485",680,696,"1,700","1,988","2,112","1,608","2,820","1,640","1,400","1,820","1,920","1,760","1,360","1,220","1,140","1,560","1,140","1,620","1,660","1,240","1,660","1,380","1,400","1,740","1,100",980,"1,340","1,660","1,260","1,440","2,140","1,280","1,880","1,820","1,460","1,940","1,240","1,120","1,540","1,940","2,380","1,520","1,660"
Thailand,"1,452","1,593","2,204","2,492","2,400","2,967","3,836","2,548","2,970","2,632","2,314","2,449","1,152","1,566","1,708","2,392","2,574","3,234","3,321","2,850","3,300","3,051","2,619","2,790","1,287","1,653","2,250","2,548","1,392","2,592","3,528","2,470","2,990","2,233","2,204","2,937","1,700","1,682","1,938","3,500","3,432","4,104","5,600","3,960","2,040","2,760","2,360","3,300","1,900","2,220","2,760","3,680","2,920","5,440","4,800","3,360","3,440","2,940","2,800","4,840","2,460","2,000","2,500","3,100","3,000","4,480","4,720","4,000","3,960","3,380","3,700","4,760","2,080","1,960","2,000","4,300","2,320","3,540","4,880"
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Timor-Leste,0,27,0,112,48,23,56,26,54,140,78,0,0,108,84,26,66,22,27,100,100,27,54,0,0,58,0,28,24,0,56,26,0,0,58,33,0,0,0,0,24,0,40,60,20,20,0,20,20,40,20,0,40,40,40,20,140,20,20,0,20,20,40,60,0,40,20,60,0,60,20,0,20,0,0,20,20,40,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,"1,023",756,986,840,768,506,588,598,783,532,"1,508","1,395",896,459,700,754,748,638,486,550,875,648,"1,728","1,612",726,899,"1,320",840,792,960,616,598,702,870,"1,392","1,749","1,326",551,884,"1,064",600,384,700,500,820,740,"1,420","1,720","1,200",640,820,820,760,920,520,520,700,700,"1,280","1,580",660,640,"1,100",760,540,620,420,520,980,820,"1,120","2,120",580,900,920,840,840,560,600
Uzbekistan,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,25,0,0,0,0,0,0,0,24,0,0,52,0,0,29,33,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,60,80,0,0,0,0,0,20,0,0,0,0,0,20,0,20
